email,password,role,flow,company_id,zone_id,user_id
perf.company.000001@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN263DN001,KCN263,CU2255
perf.company.000002@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN264DN001,KCN264,CU2256
perf.company.000003@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN265DN001,KCN265,CU2257
perf.company.000004@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN266DN001,KCN266,CU2258
perf.company.000005@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN267DN001,KCN267,CU2259
perf.company.000006@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN268DN001,KCN268,CU2260
perf.company.000007@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN269DN001,KCN269,CU2261
perf.company.000008@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN270DN001,KCN270,CU2262
perf.company.000009@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN271DN001,KCN271,CU2263
perf.company.000010@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN272DN001,KCN272,CU2264
perf.company.000011@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN273DN001,KCN273,CU2265
perf.company.000012@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN274DN001,KCN274,CU2266
perf.company.000013@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN275DN001,KCN275,CU2267
perf.company.000014@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN276DN001,KCN276,CU2268
perf.company.000015@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN277DN001,KCN277,CU2269
perf.company.000016@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN278DN001,KCN278,CU2270
perf.company.000017@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN279DN001,KCN279,CU2271
perf.company.000018@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN280DN001,KCN280,CU2272
perf.company.000019@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN281DN001,KCN281,CU2273
perf.company.000020@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN282DN001,KCN282,CU2274
perf.company.000021@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN283DN001,KCN283,CU2275
perf.company.000022@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN284DN001,KCN284,CU2276
perf.company.000023@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN285DN001,KCN285,CU2277
perf.company.000024@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN286DN001,KCN286,CU2278
perf.company.000025@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN287DN001,KCN287,CU2279
perf.company.000026@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN288DN001,KCN288,CU2280
perf.company.000027@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN289DN001,KCN289,CU2281
perf.company.000028@perf.hepza.test,ChangeMe123!,company,company_dashboard,KCN290DN001,KCN290,CU2282
